Index,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,turnout_difference,case_pct,death_pct,Men_pct,2016_county_winner,2020_county_winner
3091,0.588,0.343,9616.0,5654.0,3301.0,0.604,0.368,10900.0,6581.0,4016.0,43.00924485,-97.39467635,940.0,6.0,22660.0,11786.0,10874.0,3.7,89.4,1.8,2.3,0.7,0.1,17661.0,50029.0,4014.0,30395.0,2706.0,13.1,14.8,35.9,17.4,21.6,8.2,16.9,81.3,10.0,0.9,2.5,0.8,4.5,15.1,11340.0,78.9,15.1,5.7,0.3,2.8,1284.0,0.04148278905560459,0.006382978723404255,0.5201235657546337,R,R
3092,0.577,0.359,8975.0,5180.0,3219.0,0.63,0.345,8817.0,5552.0,3046.0,42.63505484,-77.10369919,134.0,7.0,25083.0,12069.0,13014.0,2.2,94.9,1.0,0.1,0.7,0.0,19160.0,51758.0,3135.0,26608.0,1378.0,13.1,18.9,30.6,19.8,20.6,13.9,15.1,67.7,9.8,0.3,8.1,4.1,10.0,22.5,11331.0,73.7,12.3,12.7,1.2,6.0,-158.0,0.005342263684567237,0.05223880597014925,0.48116254036598494,R,R
3093,0.634,0.32,92780.0,58862.0,29705.0,0.639,0.346,143221.0,91527.0,49602.0,34.59933926,-112.5538588,3029.0,91.0,220972.0,108100.0,112872.0,14.3,80.9,0.5,1.5,0.9,0.0,176240.0,48259.0,1287.0,27504.0,633.0,14.7,20.1,31.9,22.7,24.5,11.1,9.8,75.2,11.8,0.3,3.1,2.2,7.3,23.2,83535.0,76.4,14.2,9.3,0.1,7.3,50441.0,0.013707619064858897,0.030042918454935622,0.48920225186901506,R,R
3094,0.462,0.528,9892.0,4568.0,5221.0,0.485,0.503,9012.0,4370.0,4533.0,32.77890365,-90.39656148,1277.0,35.0,27496.0,14846.0,12650.0,5.6,35.8,56.4,0.2,0.4,0.0,19702.0,28330.0,2558.0,16927.0,3056.0,36.5,49.3,30.8,21.2,18.4,11.1,18.5,83.6,13.0,0.0,1.0,0.6,1.9,27.2,7778.0,73.2,21.1,5.4,0.2,15.9,-880.0,0.04644311899912715,0.0274079874706343,0.5399330811754437,D,D
3095,0.716,0.229,6423.0,4600.0,1472.0,0.776,0.19,6711.0,5205.0,1275.0,35.00292371,-93.41171338,1368.0,31.0,21601.0,10722.0,10879.0,19.7,75.6,2.0,0.8,1.4,0.0,14691.0,39696.0,2480.0,20209.0,1455.0,17.8,27.3,23.5,17.0,20.0,16.8,22.8,79.0,10.0,0.6,2.2,2.2,6.0,20.8,8852.0,78.7,14.4,6.6,0.3,6.3,288.0,0.06333040137030693,0.02266081871345029,0.4963659089856951,R,R
3096,0.644,0.29,5253.0,3382.0,1524.0,0.676,0.305,5525.0,3734.0,1685.0,44.71710183,-95.86842453,335.0,7.0,9930.0,5096.0,4834.0,4.3,90.2,0.5,2.7,0.6,0.0,7552.0,54645.0,3255.0,28182.0,1034.0,12.5,15.4,33.4,17.1,19.7,13.1,16.7,75.1,9.1,0.7,5.9,1.1,8.1,17.7,5014.0,74.7,12.0,13.0,0.3,2.7,272.0,0.033736153071500505,0.020895522388059702,0.5131923464249748,R,R
3097,0.596,0.325,64903.0,38675.0,21117.0,0.606,0.366,81774.0,49548.0,29936.0,45.93955949,-108.2691486,6988.0,94.0,156332.0,76868.0,79464.0,5.3,87.0,0.6,4.0,0.6,0.1,117966.0,57955.0,1142.0,32296.0,831.0,10.1,11.9,34.0,19.0,23.4,12.2,11.4,81.7,9.7,0.7,2.6,1.3,4.0,18.4,80238.0,82.0,10.4,7.5,0.2,3.5,16871.0,0.044699741575621114,0.013451631368059531,0.4916971573318323,R,R
3098,0.782,0.185,2299.0,1797.0,426.0,0.825,0.159,2633.0,2172.0,419.0,33.17320212,-102.8276433,338.0,7.0,8481.0,4286.0,4195.0,65.0,33.2,0.0,0.2,0.0,0.0,4432.0,62500.0,8792.0,23681.0,2553.0,12.3,14.6,21.8,16.9,19.2,27.8,14.4,78.0,16.8,0.0,3.7,0.2,1.3,16.2,3755.0,71.7,17.5,10.7,0.1,7.5,334.0,0.03985379082655347,0.020710059171597635,0.5053649333804976,R,R
3099,0.26,0.681,50623.0,13178.0,34460.0,0.248,0.732,64934.0,16128.0,47504.0,38.68278902,-121.9018288,3303.0,60.0,212605.0,103617.0,108988.0,31.4,47.5,2.2,0.3,13.6,0.4,142947.0,61621.0,1733.0,30615.0,679.0,19.4,16.3,44.2,18.7,18.8,9.0,9.3,67.0,11.4,3.9,3.3,9.4,5.0,23.2,95944.0,66.7,27.1,6.2,0.0,7.2,14311.0,0.015535852872698196,0.018165304268846504,0.48736859434161944,D,D
3100,0.442,0.49,113962.0,50388.0,55828.0,0.347,0.633,9658.0,3352.0,6117.0,43.47808377,-70.71052375,1446.0,21.0,201454.0,98215.0,103239.0,1.6,94.6,0.8,0.4,1.2,0.0,159823.0,62618.0,1559.0,33635.0,751.0,8.5,9.9,35.6,18.2,23.7,10.0,12.5,80.1,9.5,0.7,2.4,1.6,5.7,28.0,105307.0,77.5,14.5,7.9,0.1,4.8,-104304.0,0.007177817268458308,0.014522821576763486,0.4875306521588055,D,D
